Location ID,Location,Year,Month,Temp (F),Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,1895,1,51.5,15,-2.9,54.4
CA-001,Alameda County,1895,2,59.3,84,1.3,58
CA-001,Alameda County,1895,3,59.8,36,-1.6,61.4
CA-001,Alameda County,1895,4,65.2,51,-0.7,65.9
CA-001,Alameda County,1895,5,71.2,54,-0.1,71.3
CA-001,Alameda County,1895,6,80,96,2.5,77.5
CA-001,Alameda County,1895,7,80,15,-2.3,82.3
CA-001,Alameda County,1895,8,80.3,22,-1.4,81.7
CA-001,Alameda County,1895,9,76,8,-4,80
CA-001,Alameda County,1895,10,70.9,26,-2.3,73.2
CA-001,Alameda County,1895,11,62.2,53,-0.7,62.9
CA-001,Alameda County,1895,12,52,11,-3.2,55.2
CA-001,Alameda County,1896,1,56.3,93,1.9,54.4
CA-001,Alameda County,1896,2,62.2,118,4.2,58
CA-001,Alameda County,1896,3,62.2,75,0.8,61.4
CA-001,Alameda County,1896,4,59.8,4,-6.1,65.9
CA-001,Alameda County,1896,5,68.6,26,-2.7,71.3
CA-001,Alameda County,1896,6,79.1,85,1.6,77.5
CA-001,Alameda County,1896,7,84,100,1.7,82.3
CA-001,Alameda County,1896,8,80.4,24,-1.3,81.7
CA-001,Alameda County,1896,9,74.6,4,-5.4,80
CA-001,Alameda County,1896,10,72,43,-1.2,73.2
CA-001,Alameda County,1896,11,58.4,7,-4.5,62.9
CA-001,Alameda County,1896,12,56.8,91,1.6,55.2
CA-001,Alameda County,1897,1,51.2,13,-3.2,54.4
CA-001,Alameda County,1897,2,54,7,-4,58
CA-001,Alameda County,1897,3,54.6,1,-6.8,61.4
CA-001,Alameda County,1897,4,69.1,104,3.2,65.9
CA-001,Alameda County,1897,5,73.9,98,2.6,71.3
CA-001,Alameda County,1897,6,78,58,0.5,77.5
CA-001,Alameda County,1897,7,84.6,106,2.3,82.3
CA-001,Alameda County,1897,8,81.1,39,-0.6,81.7
CA-001,Alameda County,1897,9,77.7,23,-2.3,80
CA-001,Alameda County,1897,10,67.1,2,-6.1,73.2
CA-001,Alameda County,1897,11,58,4,-4.9,62.9
CA-001,Alameda County,1897,12,54.1,40,-1.1,55.2
CA-001,Alameda County,1898,1,50.5,7,-3.9,54.4
CA-001,Alameda County,1898,2,58,59,0,58
CA-001,Alameda County,1898,3,59.1,31,-2.3,61.4
CA-001,Alameda County,1898,4,68.7,98,2.8,65.9
CA-001,Alameda County,1898,5,66,6,-5.3,71.3
CA-001,Alameda County,1898,6,79.1,85,1.6,77.5
CA-001,Alameda County,1898,7,82.9,77,0.6,82.3
CA-001,Alameda County,1898,8,81.7,58,0,81.7
CA-001,Alameda County,1898,9,77.2,19,-2.8,80
CA-001,Alameda County,1898,10,71.9,41,-1.3,73.2
CA-001,Alameda County,1898,11,62.1,51,-0.8,62.9
CA-001,Alameda County,1898,12,53.5,33,-1.7,55.2
CA-001,Alameda County,1899,1,56.7,102,2.3,54.4
CA-001,Alameda County,1899,2,59.1,82,1.1,58
CA-001,Alameda County,1899,3,58.7,25,-2.7,61.4
CA-001,Alameda County,1899,4,66.4,72,0.5,65.9
CA-001,Alameda County,1899,5,68,20,-3.3,71.3
CA-001,Alameda County,1899,6,78.3,67,0.8,77.5
CA-001,Alameda County,1899,7,81,32,-1.3,82.3
CA-001,Alameda County,1899,8,77.6,5,-4.1,81.7
CA-001,Alameda County,1899,9,80.8,78,0.8,80
CA-001,Alameda County,1899,10,68.2,4,-5,73.2
CA-001,Alameda County,1899,11,60.1,20,-2.8,62.9
CA-001,Alameda County,1899,12,52.4,16,-2.8,55.2
CA-001,Alameda County,1900,1,53.4,39,-1,54.4
CA-001,Alameda County,1900,2,58.4,71,0.4,58
CA-001,Alameda County,1900,3,63.2,90,1.8,61.4
CA-001,Alameda County,1900,4,63.9,29,-2,65.9
CA-001,Alameda County,1900,5,74.2,102,2.9,71.3
CA-001,Alameda County,1900,6,78.6,73,1.1,77.5
CA-001,Alameda County,1900,7,83.4,86,1.1,82.3
CA-001,Alameda County,1900,8,80.2,20,-1.5,81.7
CA-001,Alameda County,1900,9,78,27,-2,80
CA-001,Alameda County,1900,10,70.1,14,-3.1,73.2
CA-001,Alameda County,1900,11,63.4,76,0.5,62.9
CA-001,Alameda County,1900,12,55.3,62,0.1,55.2
CA-001,Alameda County,1901,1,53.1,35,-1.3,54.4
CA-001,Alameda County,1901,2,57.6,51,-0.4,58
CA-001,Alameda County,1901,3,63.8,96,2.4,61.4
CA-001,Alameda County,1901,4,63.8,26,-2.1,65.9
CA-001,Alameda County,1901,5,68.6,26,-2.7,71.3
CA-001,Alameda County,1901,6,78.9,78,1.4,77.5
CA-001,Alameda County,1901,7,81.5,41,-0.8,82.3
CA-001,Alameda County,1901,8,80.5,28,-1.2,81.7
CA-001,Alameda County,1901,9,77,16,-3,80
CA-001,Alameda County,1901,10,75.2,95,2,73.2
CA-001,Alameda County,1901,11,64.6,89,1.7,62.9
CA-001,Alameda County,1901,12,57.6,102,2.4,55.2
CA-001,Alameda County,1902,1,52.5,24,-1.9,54.4
CA-001,Alameda County,1902,2,56.4,25,-1.6,58
