,Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,State,county,County,Poverty Rate,Year,Unemployment Count
0,"Merced County, California",43844.0,250699.0,29.3,18041.0,53738.0,06,047,Merced County,21.435266993486213,2010,
1,"Modoc County, California",34588.0,9605.0,45.4,20536.0,1709.0,06,049,Modoc County,17.792816241540866,2010,
2,"Mono County, California",55087.0,13905.0,36.5,27321.0,1664.0,06,051,Mono County,11.966918374685365,2010,
3,"Monterey County, California",59271.0,407435.0,32.8,25776.0,54276.0,06,053,Monterey County,13.321388687766147,2010,
4,"Napa County, California",67389.0,134051.0,39.4,34310.0,12948.0,06,055,Napa County,9.659010376647693,2010,
5,"Nevada County, California",57121.0,98186.0,46.8,30727.0,8740.0,06,057,Nevada County,8.901472715051026,2010,
6,"Orange County, California",74344.0,2965525.0,35.7,34017.0,296846.0,06,059,Orange County,10.009897067129765,2010,
7,"Placer County, California",74447.0,336477.0,39.8,35680.0,22090.0,06,061,Placer County,6.565084686323285,2010,
8,"Plumas County, California",44000.0,20392.0,48.5,28732.0,2437.0,06,063,Plumas County,11.95076500588466,2010,
9,"Riverside County, California",57768.0,2109464.0,33.4,24431.0,278358.0,06,065,Riverside County,13.195674351399218,2010,
10,"Sacramento County, California",56439.0,1395144.0,34.6,26953.0,190768.0,06,067,Sacramento County,13.67371396787715,2010,
11,"San Benito County, California",65771.0,54492.0,33.7,25508.0,6323.0,06,069,San Benito County,11.603538134038024,2010,
12,"San Bernardino County, California",55845.0,2005287.0,31.2,21867.0,291020.0,06,071,San Bernardino County,14.51263584713809,2010,
13,"San Diego County, California",63069.0,3022468.0,34.5,30715.0,361248.0,06,073,San Diego County,11.95208683764394,2010,
14,"San Francisco County, California",71304.0,789172.0,38.3,45478.0,92600.0,06,075,San Francisco County,11.733817216018815,2010,
15,"San Joaquin County, California",54341.0,673613.0,32.3,22851.0,105502.0,06,077,San Joaquin County,15.662108658829327,2010,
16,"San Luis Obispo County, California",57365.0,265577.0,39.0,29790.0,32183.0,06,079,San Luis Obispo County,12.11814276085655,2010,
17,"San Mateo County, California",85648.0,704327.0,39.0,43958.0,48744.0,06,081,San Mateo County,6.920649073512729,2010,
18,"Santa Barbara County, California",60078.0,416051.0,33.6,29731.0,57463.0,06,083,Santa Barbara County,13.811527913645202,2010,
19,"Santa Clara County, California",86850.0,1739396.0,35.8,39804.0,152066.0,06,085,Santa Clara County,8.742460026353976,2010,
20,"Santa Cruz County, California",65253.0,256901.0,36.6,32862.0,31445.0,06,087,Santa Cruz County,12.24012362738954,2010,
21,"Shasta County, California",43944.0,176906.0,41.3,23772.0,28772.0,06,089,Shasta County,16.264004612619132,2010,
22,"Sierra County, California",52950.0,3366.0,50.8,27389.0,365.0,06,091,Sierra County,10.843731431966726,2010,
23,"Siskiyou County, California",36981.0,44690.0,46.5,22179.0,7487.0,06,093,Siskiyou County,16.75318863280376,2010,
24,"Solano County, California",68409.0,410042.0,36.5,28649.0,41158.0,06,095,Solano County,10.037508352802883,2010,
25,"Sonoma County, California",63274.0,474047.0,39.5,32597.0,48005.0,06,097,Sonoma County,10.126633013182238,2010,
26,"Stanislaus County, California",51094.0,509682.0,32.5,22064.0,82480.0,06,099,Stanislaus County,16.182639371215778,2010,
27,"Sutter County, California",50944.0,93420.0,34.2,22344.0,13194.0,06,101,Sutter County,14.123314065510597,2010,
28,"Tehama County, California",38137.0,62575.0,39.2,20198.0,12397.0,06,103,Tehama County,19.811426288453855,2010,
29,"Trinity County, California",38725.0,13701.0,48.5,22073.0,1993.0,06,105,Trinity County,14.546383475658711,2010,
30,"Tulare County, California",43851.0,429404.0,29.4,17966.0,97012.0,06,107,Tulare County,22.59224413372954,2010,
31,"Tuolumne County, California",47462.0,56074.0,46.6,25483.0,5925.0,06,109,Tuolumne County,10.566394407390234,2010,
32,"Ventura County, California",75348.0,809080.0,36.0,32348.0,73842.0,06,111,Ventura County,9.126662381964701,2010,
33,"Yolo County, California",57077.0,196418.0,30.1,27420.0,31895.0,06,113,Yolo County,16.238328462768177,2010,
34,"Yuba County, California",46807.0,71160.0,31.5,19937.0,13760.0,06,115,Yuba County,19.33670601461495,2010,
35,"Alameda County, California",69384.0,1477980.0,36.2,33961.0,165417.0,06,001,Alameda County,11.192100028417164,2010,
36,"Alpine County, California",63478.0,1176.0,40.9,32159.0,145.0,06,003,Alpine County,12.329931972789115,2010,
37,"Amador County, California",54758.0,38327.0,47.2,26329.0,2720.0,06,005,Amador County,7.0968246927753285,2010,
38,"Butte County, California",43170.0,218635.0,37.2,23404.0,39290.0,06,007,Butte County,17.970590253161664,2010,
39,"Calaveras County, California",54971.0,45994.0,48.5,28408.0,3773.0,06,009,Calaveras County,8.20324390137844,2010,
40,"Colusa County, California",48016.0,21165.0,34.0,21317.0,3107.0,06,011,Colusa County,14.679896054807465,2010,
41,"Contra Costa County, California",78385.0,1024809.0,38.1,37818.0,91142.0,06,013,Contra Costa County,8.893559677949744,2010,
42,"Del Norte County, California",36118.0,28471.0,37.9,18974.0,5526.0,06,015,Del Norte County,19.409223420322434,2010,
43,"El Dorado County, California",70000.0,179053.0,42.6,34393.0,14003.0,06,017,El Dorado County,7.820589434413274,2010,
44,"Fresno County, California",46430.0,908830.0,30.4,20329.0,200288.0,06,019,Fresno County,22.038004907408425,2010,
45,"Glenn County, California",43074.0,27935.0,35.1,19987.0,4875.0,06,021,Glenn County,17.451226060497582,2010,
46,"Humboldt County, California",40089.0,133058.0,37.1,24025.0,22973.0,06,023,Humboldt County,17.265403057313353,2010,
47,"Imperial County, California",38685.0,168052.0,31.6,16395.0,33784.0,06,025,Imperial County,20.103301359103135,2010,
48,"Inyo County, California",44808.0,18434.0,45.0,26762.0,2178.0,06,027,Inyo County,11.8151242269719,2010,
49,"Kern County, California",47089.0,815693.0,30.6,20100.0,159967.0,06,029,Kern County,19.61117724437993,2010,
50,"Kings County, California",48684.0,151122.0,30.8,17875.0,25713.0,06,031,Kings County,17.014729820939372,2010,
51,"Lake County, California",39491.0,64371.0,44.1,21531.0,12087.0,06,033,Lake County,18.77708906184462,2010,
52,"Lassen County, California",50317.0,35081.0,37.2,19756.0,3438.0,06,035,Lassen County,9.80017673384453,2010,
53,"Los Angeles County, California",55476.0,9758256.0,34.3,27344.0,1508618.0,06,037,Los Angeles County,15.459914148593764,2010,
54,"Madera County, California",46039.0,147738.0,33.2,18724.0,26656.0,06,039,Madera County,18.04275135713222,2010,
55,"Marin County, California",89268.0,248601.0,44.0,53940.0,16796.0,06,041,Marin County,6.756207738504672,2010,
56,"Mariposa County, California",49098.0,18290.0,47.9,27064.0,2286.0,06,043,Mariposa County,12.498633132859487,2010,
57,"Mendocino County, California",43759.0,87487.0,41.2,23357.0,14710.0,06,045,Mendocino County,16.81392664052945,2010,
0,"Merced County, California",43945.0,253606.0,29.5,18304.0,57461.0,06,047,Merced County,22.65758696560807,2011,16875.0
1,"Mariposa County, California",49174.0,18290.0,48.4,27209.0,2611.0,06,043,Mariposa County,14.275560415527611,2011,1152.0
2,"Yuba County, California",46617.0,71817.0,31.7,20046.0,14222.0,06,115,Yuba County,19.803110684099863,2011,5218.0
3,"Contra Costa County, California",79135.0,1037817.0,38.3,38141.0,101562.0,06,013,Contra Costa County,9.786118361907736,2011,50498.0
4,"Lassen County, California",52484.0,35001.0,37.0,19339.0,3562.0,06,035,Lassen County,10.176852089940287,2011,1157.0
5,"Stanislaus County, California",50671.0,512469.0,32.6,21820.0,91291.0,06,099,Stanislaus County,17.813955575849466,2011,34207.0
6,"Sonoma County, California",64343.0,478551.0,39.7,33119.0,50592.0,06,097,Sonoma County,10.571913965282697,2011,22146.0
7,"Tehama County, California",38753.0,62985.0,39.4,20689.0,12796.0,06,103,Tehama County,20.315948241644836,2011,3601.0
8,"Mono County, California",60469.0,14016.0,36.5,28789.0,1554.0,06,051,Mono County,11.087328767123287,2011,650.0
9,"San Benito County, California",65570.0,54873.0,33.9,26300.0,6179.0,06,069,San Benito County,11.260547081442605,2011,3081.0
10,"Sacramento County, California",56553.0,1408480.0,34.7,27180.0,205715.0,06,067,Sacramento County,14.605461206406908,2011,82587.0
11,"El Dorado County, California",68815.0,179878.0,43.1,34385.0,15010.0,06,017,El Dorado County,8.344544635808715,2011,8986.0
12,"Monterey County, California",59737.0,411385.0,32.8,25508.0,59315.0,06,053,Monterey County,14.418367222917706,2011,21210.0
13,"Sierra County, California",50308.0,3277.0,51.5,26137.0,540.0,06,091,Sierra County,16.47848642050656,2011,165.0
14,"Lake County, California",39525.0,64392.0,44.3,22238.0,13543.0,06,033,Lake County,21.032115790781464,2011,3792.0
15,"Modoc County, California",35402.0,9587.0,46.5,20769.0,1816.0,06,049,Modoc County,18.942317721915092,2011,369.0
16,"Inyo County, California",49571.0,18457.0,45.1,27532.0,2127.0,06,027,Inyo County,11.524083003738419,2011,664.0
17,"Santa Barbara County, California",61896.0,419793.0,33.4,30330.0,57170.0,06,083,Santa Barbara County,13.61861679446775,2011,17659.0
18,"Imperial County, California",39402.0,171343.0,31.8,16593.0,37463.0,06,025,Imperial County,21.864330611697007,2011,11406.0
19,"Alameda County, California",70821.0,1494876.0,36.4,34937.0,173156.0,06,001,Alameda County,11.583301892598449,2011,72802.0
20,"Napa County, California",68641.0,135377.0,39.5,35309.0,12906.0,06,055,Napa County,9.533377161556247,2011,5636.0
21,"San Francisco County, California",72947.0,797983.0,38.4,46777.0,96801.0,06,075,San Francisco County,12.13070955145661,2011,36368.0
22,"Colusa County, California",49558.0,21297.0,33.5,21271.0,3029.0,06,011,Colusa County,14.222660468610602,2011,1414.0
23,"Kings County, California",48838.0,152335.0,31.0,18296.0,26042.0,06,031,Kings County,17.09521777661076,2011,7973.0
24,"Fresno County, California",46903.0,920623.0,30.6,20638.0,211140.0,06,019,Fresno County,22.93446937562933,2011,53357.0
