,YEAR,COUNTY,EVENT_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM
3000,2010,Los Angeles,Winter Storm,0,0,0
3007,2010,San Bernardino,Wildfire,0,1,0
3008,2010,San Luis Obispo,Flash Flood,0,0,1000
3010,2010,Mono,Heavy Rain,0,0,0
3011,2010,San Luis Obispo,Flash Flood,0,0,5000
3012,2010,Ventura,Winter Storm,0,0,0
3013,2010,Los Angeles,Winter Storm,0,0,0
3014,2010,Los Angeles,High Wind,0,0,0
3015,2010,Los Angeles,High Wind,0,0,0
3016,2010,Los Angeles,High Wind,0,0,0
3017,2010,San Bernardino,High Wind,0,0,0
3018,2010,Los Angeles,High Wind,0,0,0
3019,2010,San Luis Obispo,Thunderstorm Wind,0,0,0
3021,2010,Siskiyou,Wildfire,0,0,0
3023,2010,Sierra,Heavy Rain,0,0,0
3024,2010,Sierra,Heavy Rain,0,0,0
3025,2010,Riverside,Flash Flood,0,0,0
3026,2010,Sierra,Flash Flood,0,0,0
3027,2010,Riverside,Heavy Rain,0,0,0
3028,2010,Riverside,Heavy Rain,0,0,0
3029,2010,Riverside,Thunderstorm Wind,0,0,80000
3030,2010,Sierra,Flash Flood,0,0,0
3032,2010,Sierra,Heavy Rain,0,0,0
3034,2010,Placer,Strong Wind,0,0,100000
3035,2010,Sierra,Thunderstorm Wind,0,0,15000
3036,2010,Sierra,Hail,0,0,0
3037,2010,Yolo,Hail,0,0,0
3038,2010,Sierra,Flash Flood,0,0,10000
3040,2010,San Bernardino,Wildfire,0,2,0
3041,2010,Sierra,Heavy Rain,0,0,0
3042,2010,Los Angeles,High Wind,0,0,0
3043,2010,Santa Barbara,High Wind,0,0,0
3044,2010,San Luis Obispo,Thunderstorm Wind,0,0,0
3045,2010,Yuba,Winter Storm,0,0,0
3048,2010,Tehama,Winter Storm,0,0,0
3049,2010,Shasta,Winter Weather,0,0,0
3050,2010,Tehama,Winter Weather,0,0,0
3051,2010,Siskiyou,Heavy Snow,0,0,0
3052,2010,Siskiyou,Heavy Snow,0,0,0
3053,2010,Riverside,High Wind,0,0,0
3054,2010,Siskiyou,Heavy Snow,0,0,0
3064,2010,Siskiyou,Heavy Snow,0,0,0
3067,2010,Sierra,Flash Flood,0,0,0
3068,2010,San Luis Obispo,Flash Flood,0,0,0
3070,2010,San Bernardino,Wildfire,0,0,8000
3071,2010,San Bernardino,Wildfire,0,0,0
3072,2010,Sierra,Thunderstorm Wind,0,0,1000
3073,2010,Riverside,Heavy Rain,0,0,0
3074,2010,Riverside,Lightning,0,0,5000
3075,2010,Riverside,Wildfire,0,0,0
3076,2010,Riverside,Heavy Rain,0,0,0
3077,2010,San Bernardino,Wildfire,0,1,17500
3078,2010,Sonoma,High Surf,4,0,20000
3079,2010,San Diego,Wildfire,0,0,0
3080,2010,San Diego,Hail,0,0,0
3081,2010,Monterey,High Surf,2,5,0
3083,2010,Sonoma,Strong Wind,0,0,45000
3084,2010,Inyo,Heavy Snow,0,0,0
3085,2010,Inyo,Heavy Snow,0,0,0
3086,2010,Sierra,Flash Flood,0,0,10000
3087,2010,Santa Barbara,High Wind,0,0,0
3088,2010,Sierra,Heavy Rain,0,0,0
3089,2010,Mono,Hail,0,0,0
3090,2010,San Luis Obispo,Thunderstorm Wind,0,0,0
3091,2010,Sierra,Flash Flood,0,0,0
3092,2010,San Luis Obispo,Flash Flood,0,0,0
3094,2010,San Bernardino,Wildfire,0,0,8000
3095,2010,San Bernardino,Wildfire,0,0,0
3096,2010,Sierra,Thunderstorm Wind,0,0,1000
3097,2010,Riverside,Heavy Rain,0,0,0
3098,2010,San Luis Obispo,Flash Flood,0,0,5000
3099,2010,Riverside,Lightning,0,0,5000
3100,2010,Riverside,Heavy Rain,0,0,0
3101,2010,San Bernardino,Wildfire,0,1,17500
3102,2010,Sonoma,High Surf,4,0,20000
3103,2010,San Diego,Wildfire,0,0,0
3104,2010,San Diego,Hail,0,0,0
3105,2010,Monterey,High Surf,2,5,0
3108,2010,Riverside,Wildfire,0,0,0
3110,2010,San Luis Obispo,Thunderstorm Wind,0,0,0
3111,2010,San Luis Obispo,Flash Flood,0,0,1000
3112,2010,Placer,Strong Wind,0,0,100000
3113,2010,Sierra,Thunderstorm Wind,0,0,15000
3114,2010,Sierra,Hail,0,0,0
3115,2010,Yolo,Hail,0,0,0
3116,2010,Sierra,Flash Flood,0,0,10000
3118,2010,San Bernardino,Wildfire,0,2,0
3120,2010,Mono,Heavy Rain,0,0,0
3129,2010,San Bernardino,Wildfire,0,1,0
3130,2010,Siskiyou,Wildfire,0,0,0
3131,2010,Sierra,Winter Storm,0,0,0
3132,2010,Placer,Winter Storm,0,2,400000
3133,2010,Mono,Winter Storm,0,0,0
3137,2010,Sierra,Thunderstorm Wind,0,0,0
3139,2010,Sierra,Flash Flood,0,0,10000
3140,2010,Sierra,Lightning,0,0,2000
3143,2010,Riverside,Lightning,0,0,2000
3144,2010,Sierra,Heavy Rain,0,0,0
3146,2010,Riverside,Heavy Rain,0,0,0
3148,2010,Riverside,Thunderstorm Wind,0,0,10000
3149,2010,Mono,Thunderstorm Wind,0,0,0
3150,2010,Sierra,Flash Flood,0,0,0
3151,2010,San Bernardino,Wildfire,0,0,0
3152,2010,Sierra,Flash Flood,0,0,0
3153,2010,Sierra,Flash Flood,0,0,20000
3156,2010,Inyo,High Wind,0,0,0
3157,2010,Yuba,Winter Storm,0,0,0
3158,2010,Tehama,Winter Storm,0,0,0
3159,2010,Placer,Winter Weather,0,0,0
3160,2010,Sonoma,Landslide,0,0,0
3161,2010,Sierra,Thunderstorm Wind,0,0,0
3162,2010,Siskiyou,Frost/Freeze,0,0,0
3163,2010,Modoc,Frost/Freeze,0,0,0
3164,2010,San Diego,Wildfire,0,4,400000
3165,2010,Modoc,Frost/Freeze,0,0,0
3166,2010,Siskiyou,Frost/Freeze,0,0,0
3168,2010,Modoc,Frost/Freeze,0,0,0
3169,2010,Siskiyou,Frost/Freeze,0,0,0
3170,2010,Siskiyou,Frost/Freeze,0,0,0
3171,2010,Modoc,Frost/Freeze,0,0,0
3175,2010,Mono,Flash Flood,0,0,0
3177,2010,Inyo,High Wind,0,0,20000
3178,2010,San Bernardino,High Wind,0,0,0
3179,2010,Yuba,Winter Storm,0,0,0
3182,2010,Tehama,Winter Storm,0,0,0
3183,2010,Shasta,Winter Weather,0,0,0
3184,2010,Tehama,Winter Weather,0,0,0
3185,2010,Siskiyou,Heavy Snow,0,0,0
3186,2010,Siskiyou,Heavy Snow,0,0,0
