,Year,County,,D0,D1,D2,D3,D4,,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
232,2013,Alameda County,13.07057692,86.92942308,65.38461538,51.92307692,0.797307692,0,46,1535248,36.8,72112,35763,188501,12.27821173
233,2013,Alpine County,12.92365385,87.07634615,69.55942308,48.655,4.884230769,0,5,1165,44.3,58636,25527,184,15.79399142
234,2013,Amador County,16.52480769,83.47519231,65.40846154,51.92307692,11.49807692,0,29,37422,49.1,53684,27347,4150,11.08973331
235,2013,Butte County,15.98596154,84.01403846,65.38461538,51.92307692,0,0,21,220542,37,43752,23787,43942,19.92454952
236,2013,Calaveras County,14.0625,85.9375,69.14076923,53.2125,11.53846154,0,26,45147,50,55295,29329,4849,10.74047002
237,2013,Colusa County,13.46153846,86.53846154,65.38461538,51.92307692,0,0,49,21366,33.9,52158,21579,2635,12.33267809
238,2013,Contra Costa County,13.34423077,86.65576923,65.38461538,51.92307692,2.193461538,0,33,1065794,38.6,78756,38219,111173,10.43100261
239,2013,Del Norte County,21.39576923,78.60423077,61.47403846,25.13557692,0,0,19,28357,39.1,37909,19072,5406,19.06407589
240,2013,El Dorado County,17.62269231,82.37730769,65.95692308,51.07096154,3.762692308,0,41,180982,44.1,69297,34884,16206,8.954481661
241,2013,Fresno County,0,100,99.24230769,78.65211538,13.49230769,0,51,939605,30.9,45563,20208,239584,25.49837432
242,2013,Glenn County,13.77192308,86.22807692,65.38461538,51.92307692,0,0,20,28054,37.2,43023,22148,5198,18.52855208
243,2013,Humboldt County,21.51211538,78.48788462,65.38461538,29.41942308,0,0,3,134613,37.5,41426,23540,26600,19.76035004
244,2013,Imperial County,0.471153846,99.52884615,82.24019231,30.56980769,0,0,45,175201,31.8,41807,16763,38286,21.852615
245,2013,Inyo County,0,100,100,97.63192308,1.533461538,0,57,18482,45.7,44796,27441,2309,12.49323666
246,2013,Kern County,0,100,100,91.22692308,37.11384615,0,24,848204,30.8,48552,20295,186811,22.02430076
247,2013,Kings County,0,100,100,88.43884615,26.16576923,0,50,151806,31.1,48133,18429,28019,18.45710973
248,2013,Lake County,15.92076923,84.07923077,65.38461538,51.92307692,0,0,55,64260,45.1,36548,21537,15860,24.6809835
249,2013,Lassen County,2.587115385,97.41288462,87.67557692,54.57903846,0,0,34,34018,37.3,53107,19931,3953,11.62031865
250,2013,Los Angeles County,0.0625,99.9375,82.82096154,60.45096154,2.138461538,0,10,9893481,35.1,55909,27749,1737224,17.55927969
251,2013,Madera County,0.067307692,99.93269231,93.99211538,70.10307692,11.53846154,0,6,151435,33.2,45625,17847,32604,21.53002939
252,2013,Marin County,13.485,86.515,65.38461538,51.92307692,0,0,14,254643,44.8,90839,56791,19121,7.508943894
253,2013,Mariposa County,4.437307692,95.56269231,88.59519231,65.38461538,11.53846154,0,31,18061,50.1,49820,26988,2876,15.92381374
254,2013,Mendocino County,17.31,82.69,65.38461538,48.85980769,0,0,7,87497,41.8,43469,23306,17221,19.68181766
255,2013,Merced County,0.01,99.99,96.78038462,64.60557692,11.48653846,0,30,258707,30,42591,18177,64490,24.92781409
256,2013,Modoc County,0,100,98.27826923,64.25884615,0,0,56,9468,46.9,36212,21200,1917,20.24714829
257,2013,Mono County,0.141538462,99.85846154,98.32423077,74.90653846,0.693461538,0,38,14217,37.2,61757,28046,1197,8.419497784
258,2013,Monterey County,3.347307692,96.65269231,77.97711538,57.95211538,17.44846154,0,42,420569,33,59168,24775,68185,16.21255965
259,2013,Napa County,13.46153846,86.53846154,65.38461538,51.92307692,0,0,47,137837,39.8,70443,34795,13563,9.83988334
260,2013,Nevada County,16.35019231,83.64980769,66.08730769,51.01153846,0,0,4,98509,48.5,57353,32346,11696,11.87302683
261,2013,Orange County,0,100,71.12846154,57.69230769,0,0,52,3051771,36.4,75422,34057,373049,12.22401681
262,2013,Placer County,17.14576923,82.85423077,66.10076923,50.83346154,0,0,15,355924,40.4,72725,34886,30850,8.667580719
263,2013,Plumas County,14.20442308,85.79557692,65.88826923,51.74769231,0,0,22,19586,49.9,45794,29806,2917,14.89329113
264,2013,Riverside County,1.669807692,98.33019231,77.51826923,43.36288462,0,0,11,2228528,33.9,56529,23591,355511,15.95272754
265,2013,Sacramento County,15.36692308,84.63307692,65.38461538,51.92307692,6.72,0,40,1435207,35.1,55064,26739,248304,17.30091896
266,2013,San Benito County,1.371153846,98.62884615,86.77057692,61.60057692,2.868461538,0,39,56115,34.5,66237,25914,6639,11.83106121
267,2013,San Bernardino County,5.223076923,94.77692308,81.70057692,67.60192308,0.857692308,0,12,2056915,31.9,54090,21332,375280,18.24479864
268,2013,San Diego County,0,100,68.91019231,29.62346154,0,0,0,3138265,34.8,62962,30668,441648,14.07299893
269,2013,San Francisco County,13.46153846,86.53846154,65.38461538,51.92307692,0,0,48,817501,38.5,75604,48486,108306,13.24842416
270,2013,San Joaquin County,8.678461538,91.32153846,67.61288462,52.75807692,11.48538462,0,54,693177,32.9,53380,22589,123115,17.76097591
271,2013,San Luis Obispo County,0,100,96.32865385,67.27230769,38.46153846,0,23,272094,39.5,58697,29954,36588,13.44682352
272,2013,San Mateo County,13.46153846,86.53846154,65.38461538,51.92307692,0,0,27,729543,39.3,88202,45732,54905,7.525944324
273,2013,Santa Barbara County,0,100,82.35980769,59.60961538,35.35,0,44,427288,33.5,62779,30352,65740,15.3854075
274,2013,Santa Clara County,12.04980769,87.95019231,65.39596154,52.01153846,0.140769231,0,13,1812208,36.4,91702,41513,181376,10.00856414
275,2013,Santa Cruz County,13.36057692,86.63942308,65.38461538,51.92307692,0,0,8,264808,36.9,66519,32295,37239,14.06264161
276,2013,Shasta County,16.90403846,83.09596154,65.38461538,52.84653846,0,0,17,177966,42.1,44651,23670,30575,17.18024791
277,2013,Sierra County,11.69576923,88.30423077,70.27134615,50.55384615,0,0,43,3127,51.3,39009,24996,599,19.15574033
278,2013,Siskiyou County,13.81557692,86.18442308,66.65173077,43.91480769,0,0,16,44503,47.1,37709,22293,9216,20.70871627
279,2013,Solano County,14.19942308,85.80057692,65.38461538,51.92307692,0,0,18,417258,37.1,67177,28929,52358,12.54811172
280,2013,Sonoma County,15.74153846,84.25846154,65.38461538,51.92307692,0,0,36,487469,40.2,63356,32835,57048,11.70289803
281,2013,Stanislaus County,2.220192308,97.77980769,83.29923077,57.34038462,11.16,0,35,518321,33,49297,21663,104173,20.09816311
282,2013,Sutter County,13.95307692,86.04692308,65.38461538,51.92307692,0,0,53,94787,34.8,50408,23602,15596,16.45373311
283,2013,Tehama County,14.96538462,85.03461538,65.38461538,51.92307692,0,0,37,63241,39.9,41924,20439,12271,19.40355149
