Year,County,Acres Burned
2013,Tuolumne,257314.0
2013,Los Angeles,30274.0
2013,Riverside,27531.0
2013,Placer,27440.0
2013,Ventura,24251.0
2013,Fresno,22992.0
2013,Riverside,20292.0
2013,Siskiyou,14754.0
2013,Humboldt,12503.0
2013,Tehama,11429.0
2013,Shasta,8073.0
2013,San Diego,7055.0
2013,Tehama,6965.0
2013,Kern,4346.0
2013,Ventura,4346.0
2013,Sonoma,3505.0
2013,Riverside,3166.0
2013,Contra Costa,3111.0
2013,San Diego,2781.0
2013,Butte,2462.0
2013,San Diego,2236.0
2013,Tulare,2060.0
2013,Santa Barbara,1984.0
2013,Mariposa,1708.0
2013,Riverside,1383.0
2013,San Diego,1271.0
2013,Tuolumne,1070.0
2013,Monterey,917.0
2013,Kern,794.0
2013,Kern,712.0
2013,Los Angeles,712.0
2013,Kern,612.0
2013,El Dorado,572.0
2013,San Bernardino,534.0
2013,Plumas,513.0
2013,Riverside,510.0
2013,Modoc,502.0
2013,San Luis Obispo,500.0
2013,Contra Costa,492.0
2013,Madera,482.0
2013,San Bernardino,413.0
2013,Inyo,406.0
2013,Napa,376.0
2013,San Benito,354.0
2013,Riverside,311.0
2013,Butte,305.0
2013,San Joaquin,303.0
2013,Butte,298.0
2013,Lake,296.0
2013,Contra Costa,274.0
2013,Madera,274.0
2013,Los Angeles,268.0
2013,San Diego,263.0
2013,San Bernardino,243.0
2013,Alameda,240.0
2013,Placer,237.0
2013,Glenn,226.0
2013,Glenn,217.0
2013,Monterey,213.0
2013,San Bernardino,200.0
2013,Tehama,200.0
2013,Shasta,196.0
2013,Tehama,195.0
2013,Napa,190.0
2013,Santa Barbara,170.0
2013,Yolo,163.0
2013,El Dorado,163.0
2013,Sacramento,163.0
2013,Sonoma,159.0
2013,Sonoma,158.0
2013,Alameda,150.0
2013,Riverside,150.0
2013,Stanislaus,150.0
2013,Fresno,150.0
2013,Butte,150.0
2013,Los Angeles,149.0
2013,Tulare,134.0
2013,Sonoma,125.0
2013,Solano,124.0
2013,Merced,124.0
2013,Riverside,124.0
2013,Lake,120.0
