ID,State,County,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Year
56, California,Mariposa County,18290,47.9,49098,27064,2286,12.49863313,2010
51, California,Lake County,64371,44.1,39491,21531,12087,18.77708906,2010
50, California,Kings County,151122,30.8,48684,17875,25713,17.01472982,2010
49, California,Kern County,815693,30.6,47089,20100,159967,19.61117724,2010
48, California,Inyo County,18434,45,44808,26762,2178,11.81512423,2010
47, California,Imperial County,168052,31.6,38685,16395,33784,20.10330136,2010
46, California,Humboldt County,133058,37.1,40089,24025,22973,17.26540306,2010
45, California,Glenn County,27935,35.1,43074,19987,4875,17.45122606,2010
44, California,Fresno County,908830,30.4,46430,20329,200288,22.03800491,2010
43, California,El Dorado County,179053,42.6,70000,34393,14003,7.820589434,2010
42, California,Del Norte County,28471,37.9,36118,18974,5526,19.40922342,2010
54, California,Madera County,147738,33.2,46039,18724,26656,18.04275136,2010
40, California,Colusa County,21165,34,48016,21317,3107,14.67989605,2010
52, California,Lassen County,35081,37.2,50317,19756,3438,9.800176734,2010
41, California,Contra Costa County,1024809,38.1,78385,37818,91142,8.893559678,2010
38, California,Butte County,218635,37.2,43170,23404,39290,17.97059025,2010
39, California,Calaveras County,45994,48.5,54971,28408,3773,8.203243901,2010
57, California,Mendocino County,87487,41.2,43759,23357,14710,16.81392664,2010
55, California,Marin County,248601,44,89268,53940,16796,6.756207739,2010
30, California,Tulare County,429404,29.4,43851,17966,97012,22.59224413,2010
28, California,Tehama County,62575,39.2,38137,20198,12397,19.81142629,2010
32, California,Ventura County,809080,36,75348,32348,73842,9.126662382,2010
33, California,Yolo County,196418,30.1,57077,27420,31895,16.23832846,2010
34, California,Yuba County,71160,31.5,46807,19937,13760,19.33670601,2010
35, California,Alameda County,1477980,36.2,69384,33961,165417,11.19210003,2010
36, California,Alpine County,1176,40.9,63478,32159,145,12.32993197,2010
31, California,Tuolumne County,56074,46.6,47462,25483,5925,10.56639441,2010
37, California,Amador County,38327,47.2,54758,26329,2720,7.096824693,2010
29, California,Trinity County,13701,48.5,38725,22073,1993,14.54638348,2010
25, California,Sonoma County,474047,39.5,63274,32597,48005,10.12663301,2010
0, California,Merced County,250699,29.3,43844,18041,53738,21.43526699,2010
24, California,Solano County,410042,36.5,68409,28649,41158,10.03750835,2010
23, California,Siskiyou County,44690,46.5,36981,22179,7487,16.75318863,2010
22, California,Sierra County,3366,50.8,52950,27389,365,10.84373143,2010
21, California,Shasta County,176906,41.3,43944,23772,28772,16.26400461,2010
20, California,Santa Cruz County,256901,36.6,65253,32862,31445,12.24012363,2010
19, California,Santa Clara County,1739396,35.8,86850,39804,152066,8.742460026,2010
17, California,San Mateo County,704327,39,85648,43958,48744,6.920649074,2010
16, California,San Luis Obispo County,265577,39,57365,29790,32183,12.11814276,2010
15, California,San Joaquin County,673613,32.3,54341,22851,105502,15.66210866,2010
14, California,San Francisco County,789172,38.3,71304,45478,92600,11.73381722,2010
13, California,San Diego County,3022468,34.5,63069,30715,361248,11.95208684,2010
27, California,Sutter County,93420,34.2,50944,22344,13194,14.12331407,2010
18, California,Santa Barbara County,416051,33.6,60078,29731,57463,13.81152791,2010
53, California,Los Angeles County,9758256,34.3,55476,27344,1508618,15.45991415,2010
12, California,San Bernardino County,2005287,31.2,55845,21867,291020,14.51263585,2010
26, California,Stanislaus County,509682,32.5,51094,22064,82480,16.18263937,2010
1, California,Modoc County,9605,45.4,34588,20536,1709,17.79281624,2010
7, California,Placer County,336477,39.8,74447,35680,22090,6.565084686,2010
11, California,San Benito County,54492,33.7,65771,25508,6323,11.60353813,2010
9, California,Riverside County,2109464,33.4,57768,24431,278358,13.19567435,2010
10, California,Sacramento County,1395144,34.6,56439,26953,190768,13.67371397,2010
5, California,Nevada County,98186,46.8,57121,30727,8740,8.901472715,2010
6, California,Orange County,2965525,35.7,74344,34017,296846,10.00989707,2010
4, California,Napa County,134051,39.4,67389,34310,12948,9.659010377,2010
3, California,Monterey County,407435,32.8,59271,25776,54276,13.32138869,2010
2, California,Mono County,13905,36.5,55087,27321,1664,11.96691837,2010
8, California,Plumas County,20392,48.5,44000,28732,2437,11.95076501,2010
15, California,Modoc County,9587,46.5,35402,20769,1816,18.94231772,2011
28, California,San Diego County,3060849,34.6,63857,30955,387565,12.66200979,2011
16, California,Inyo County,18457,45.1,49571,27532,2127,11.524083,2011
9, California,San Benito County,54873,33.9,65570,26300,6179,11.26054708,2011
5, California,Stanislaus County,512469,32.6,50671,21820,91291,17.81395558,2011
12, California,Monterey County,411385,32.8,59737,25508,59315,14.41836722,2011
7, California,Tehama County,62985,39.4,38753,20689,12796,20.31594824,2011
8, California,Mono County,14016,36.5,60469,28789,1554,11.08732877,2011
4, California,Lassen County,35001,37,52484,19339,3562,10.17685209,2011
10, California,Sacramento County,1408480,34.7,56553,27180,205715,14.60546121,2011
11, California,El Dorado County,179878,43.1,68815,34385,15010,8.344544636,2011
6, California,Sonoma County,478551,39.7,64343,33119,50592,10.57191397,2011
19, California,Alameda County,1494876,36.4,70821,34937,173156,11.58330189,2011
26, California,Sutter County,94192,34.4,50010,22464,14125,14.99596569,2011
3, California,Contra Costa County,1037817,38.3,79135,38141,101562,9.786118362,2011
0, California,Merced County,253606,29.5,43945,18304,57461,22.65758697,2011
18, California,Imperial County,171343,31.8,39402,16593,37463,21.86433061,2011
27, California,San Joaquin County,680277,32.5,53764,22857,110748,16.27983895,2011
30, California,Yolo County,198889,30.1,57920,28631,35674,17.93663802,2011
